,Q=15.00 - Alpha=-5.00, , 
     -1451.25,    0.09772078, , 
     -1403.75,      0.140731, , 
     -1356.25,     0.1701968, , 
     -1308.75,     0.1936392, , 
     -1261.25,      0.214208, , 
     -1213.75,     0.2337605, , 
     -1166.25,      0.253778, , 
     -1118.75,     0.2759795, , 
     -1071.25,     0.3034666, , 
     -1023.75,     0.3455399, , 
    -975.0239,     0.4633879, , 
    -925.0283,      0.529812, , 
    -875.0333,     0.5798158, , 
    -825.0392,     0.6220693, , 
     -775.046,     0.6597846, , 
     -725.054,      0.694445, , 
    -675.0635,     0.7268302, , 
    -625.0747,     0.7573842, , 
    -575.0881,     0.7863719, , 
    -525.1044,      0.813953, , 
    -475.1245,     0.8402202, , 
    -425.1497,     0.8652199, , 
     -375.182,     0.8889634, , 
    -325.2248,     0.9114317, , 
    -275.2837,     0.9325755, , 
    -225.3695,     0.9523095, , 
    -175.5051,     0.9704955, , 
    -125.7496,     0.9868998, , 
    -76.31667,       1.00107, , 
    -28.91069,      1.011796, , 
     28.91069,      1.011796, , 
     76.31667,       1.00107, , 
     125.7496,     0.9868998, , 
     175.5051,     0.9704955, , 
     225.3695,     0.9523095, , 
     275.2837,     0.9325755, , 
     325.2248,     0.9114317, , 
      375.182,     0.8889634, , 
     425.1497,     0.8652199, , 
     475.1245,     0.8402202, , 
     525.1044,      0.813953, , 
     575.0881,     0.7863719, , 
     625.0747,     0.7573842, , 
     675.0635,     0.7268302, , 
      725.054,      0.694445, , 
      775.046,     0.6597846, , 
     825.0392,     0.6220693, , 
     875.0333,     0.5798158, , 
     925.0283,      0.529812, , 
     975.0239,     0.4633879, , 
      1023.75,     0.3455399, , 
      1071.25,     0.3034666, , 
      1118.75,     0.2759795, , 
      1166.25,      0.253778, , 
      1213.75,     0.2337605, , 
      1261.25,      0.214208, , 
      1308.75,     0.1936392, , 
      1356.25,     0.1701968, , 
      1403.75,      0.140731, , 
      1451.25,    0.09772078, , 

