,, , 
    -1491.492,    0.06327525, , 
    -1484.478,    0.09462624, , 
    -1477.462,     0.1181791, , 
    -1470.448,      0.138085, , 
    -1463.432,     0.1560362, , 
    -1456.418,     0.1730608, , 
    -1449.402,     0.1900462, , 
    -1442.388,     0.2080897, , 
    -1435.372,     0.2290913, , 
    -1428.358,     0.2583059, , 
    -1389.229,     0.3645208, , 
    -1317.986,     0.4222153, , 
    -1246.744,      0.449304, , 
    -1175.502,     0.4623548, , 
    -1104.261,     0.4677869, , 
     -1033.02,     0.4686727, , 
    -961.7796,     0.4666932, , 
    -890.5402,     0.4628591, , 
    -819.3019,     0.4578257, , 
    -748.0649,     0.4520479, , 
    -676.8297,     0.4458652, , 
    -605.5968,     0.4395503, , 
    -534.3674,      0.433342, , 
    -463.1428,     0.4274676, , 
    -391.9258,     0.4221618, , 
    -320.7214,     0.4176848, , 
    -249.5404,     0.4143391, , 
    -178.4109,     0.4124873, , 
    -107.4351,     0.4125558, , 
    -37.49602,     0.4149128, , 
     37.49602,     0.4149128, , 
     107.4351,     0.4125558, , 
     178.4109,     0.4124873, , 
     249.5404,     0.4143391, , 
     320.7214,     0.4176848, , 
     391.9258,     0.4221618, , 
     463.1428,     0.4274676, , 
     534.3674,      0.433342, , 
     605.5968,     0.4395503, , 
     676.8297,     0.4458652, , 
     748.0649,     0.4520479, , 
     819.3019,     0.4578257, , 
     890.5402,     0.4628591, , 
     961.7796,     0.4666932, , 
      1033.02,     0.4686727, , 
     1104.261,     0.4677869, , 
     1175.502,     0.4623548, , 
     1246.744,      0.449304, , 
     1317.986,     0.4222153, , 
     1389.229,     0.3645208, , 
     1428.358,     0.2583059, , 
     1435.372,     0.2290913, , 
     1442.388,     0.2080897, , 
     1449.402,     0.1900462, , 
     1456.418,     0.1730608, , 
     1463.432,     0.1560362, , 
     1470.448,      0.138085, , 
     1477.462,     0.1181791, , 
     1484.478,    0.09462624, , 
     1491.492,    0.06327525, , 

